AUPRC,ROC_AUC,F1,Precision,Recall,TN,FP,FN,TP,Cost,Model
0.8974,0.9945,0.8848,0.9143,0.8571,22492,9,16,96,169,FT-Transformer + KD + TreeReg
0.9495,0.9988,0.9058,0.9099,0.9018,22491,10,11,101,120,DeepFM + KD
