Model,AUPRC,ROC_AUC,F1
Logistic Regression,0.9020770407310683,0.9970993352676389,0.3092485549132948
Random Forest,0.9294276989428989,0.9985389538242746,0.9009009009009009
XGBoost,0.9330997520775245,0.9978590237259296,0.9333333333333333
